f1,stats_shoton,coordinates_0,coordinates_1,event_incident_typefk,elapsed,subtype,player1,sortorder,team,id,n,original_index
2705,1,,,137,18,distance,16351,2,8456,1342378,269,236
2706,1,,,136,29,header,47382,1,10261,1342517,286,236
2707,1,,,136,32,header,47382,1,10261,1342547,287,236
2708,0,,,61,37,blocked_shot,33852,0,10261,1342612,293,236
2709,0,,,61,42,blocked_shot,33852,0,10261,1342680,309,236
2710,0,,,61,52,blocked_shot,33086,3,8456,1342884,329,236
2711,0,,,61,55,blocked_shot,38831,0,10261,1342926,313,236
2712,1,,,137,68,distance,23933,2,10261,1343095,337,236
2713,0,,,61,88,blocked_shot,24159,0,8456,1343341,359,236
2714,0,,,152,90,direct_freekick,24205,0,10261,1343398,241,236
2715,0,,,61,17,blocked_shot,33852,4,10261,1138815,241,237
2716,0,,,61,31,blocked_shot,23933,2,10261,1138843,259,237
2717,1,,,154,31,header,23933,6,10261,1138847,255,237
2718,0,,,62,33,blocked_shot,,0,10252,1138858,262,237
2719,1,,,141,37,shot,23933,1,10261,1138864,261,237
2720,1,,,137,48,distance,47382,0,10261,1138974,276,237
2721,1,,,135,62,shot,38831,1,10261,1139074,285,237
2722,0,,,61,72,blocked_shot,24213,0,10252,1139141,299,237
2723,1,,,153,76,shot,47382,0,10261,1139169,301,237
2724,0,,,61,87,blocked_shot,24225,1,10261,1139270,319,237
2725,1,,,135,2,shot,30895,0,8586,1344006,316,238
2726,0,,,61,4,blocked_shot,31921,4,8586,1344040,321,238
2727,0,,,61,11,blocked_shot,31097,3,8586,1344096,328,238
2728,1,,,138,15,volley,30840,2,8586,1344134,330,238
2729,0,,,152,33,direct_freekick,30840,0,8586,1344322,113,238
2730,1,,,137,34,distance,38373,1,10261,1344343,353,238
2731,1,,,135,36,shot,30840,1,8586,1344364,356,238
2732,0,,,494,40,blocked_shot,24205,0,10261,1344407,364,238
2733,1,,,558,45,big chance header,30840,2,8586,1344509,375,238
2734,0,,,494,52,blocked_shot,47382,0,10261,1344583,383,238
2735,1,,,135,61,shot,31097,2,8586,1344696,395,238
2736,1,,,312,83,deflected,30830,1,8586,1344934,418,238
2737,1,,,313,87,deflected,47382,1,10261,1344966,420,238
2738,1,,,148,87,header,47382,3,10261,1344972,422,238
2739,1,,,313,90,deflected,24205,2,10261,1345036,430,238
2740,1,,,141,90,shot,30248,0,10261,1345049,436,238
2741,1,,,142,90,header,38831,1,10261,1345057,434,238
2742,1,,,136,6,header,47382,2,10261,1144004,324,239
2743,1,,,153,9,shot,30248,4,10261,1144046,331,239
2744,1,,,135,19,shot,23933,0,10261,1144149,346,239
2745,1,,,153,19,shot,23933,1,10261,1144152,345,239
2746,0,,,61,34,blocked_shot,23291,2,8602,1144345,370,239
2747,1,,,59,44,volley,34433,1,8602,1144481,384,239
2748,1,,,8,63,header,47382,1,10261,1144938,419,239
2749,1,,,156,67,volley,23933,1,10261,1145007,428,239
2750,1,,,136,79,header,47382,2,10261,1145131,441,239
2751,1,,,154,81,header,24225,2,10261,1145161,445,239
2752,0,,,494,84,blocked_shot,24205,0,10261,1145187,450,239
2753,1,,,136,90,header,23933,1,10261,1145261,459,239
2754,1,,,137,5,distance,46344,0,8483,1156624,208,240
2755,1,,,553,12,big chance shot,21853,2,8483,1156773,216,240
2756,1,,,552,12,big chance shot,23299,3,8483,1156779,217,240
2757,1,,,312,17,deflected,30929,3,10261,1156876,224,240
